Repo,Path,Has Docker,Docker Files,Web Ports,Has PoC,PoC Categories,PoC Files,Unittest Files,Docker Valid,Docker Message,Summary
idascripts,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/idascripts,No,,,Yes,Command Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/idascripts/img/libexploit_allxrefs.json.png; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/idascripts/img/thumbs/libexploit_allxrefs.json.png,,No,,The scripts in this repo are an extraction from a larger set of scripts used for semi-automated analysis in security assurance of Irdeto's anti-revers
LookupInterface,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/LookupInterface,No,,,Yes,Command Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/LookupInterface/《Make Deep Exploit RCE Attack Popular 》.pptx,,No,,CodeQL 寻找 JNDI利用 Lookup接口，寻找更多利用gadget。
docker-awvs,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/docker-awvs,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/docker-awvs/docker-compose.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/docker-awvs/Dockerfile,,No,,,,No,docker-compose not found,该项目让用户名和 token 的配置更加简单
CasExp,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CasExp,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CasExp/CasPoc.iml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CasExp/src/main/java/org/unicodesec/poc.java,,No,,Apereo CAS 是一个开源的企业级单点登录系统，很多统一认证系统都是基于此系统二次开发
secure-repo,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/secure-repo,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/secure-repo/Dockerfile,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/secure-repo/SECURITY.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/secure-repo/knowledge-base/actions/aquasecurity/trivy-action/action-security.yml,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/secure-repo/main_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/secure-repo/remediation/docker/securedockerfile_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/secure-repo/remediation/workflow/workflow_test.go,Yes,Has Dockerfile (untested),[![Maintained by stepsecurity.io](https://img.shields.io/badge/maintained%20by-stepsecurity.io-blueviolet)](https://stepsecurity.io/?utm_source=github
tinyfilemanager,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/tinyfilemanager,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/tinyfilemanager/docker-compose.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/tinyfilemanager/Dockerfile,80,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/tinyfilemanager/SECURITY.md,,No,docker-compose not found,[![Live demo](https://img.shields.io/badge/Live-Demo-brightgreen.svg?style=flat-square)](https://tinyfilemanager.github.io/demo/)
asset-scan,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/asset-scan,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/asset-scan/vendor/github.com/olivere/elastic/docker-compose.yml,,Yes,RCE; SSRF; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/asset-scan/vendor/github.com/netxfly/mysql/.travis.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/asset-scan/vendor/github.com/olivere/elastic/indices_open.go,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/asset-scan/vendor/github.com/pkg/errors/json_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/asset-scan/vendor/github.com/pkg/errors/format_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/asset-scan/vendor/github.com/pkg/errors/errors_test.go,No,docker-compose not found,[![Golang](https://img.shields.io/badge/Golang-1.13-yellow.svg?style=flat-square)](https://www.golang.org/) [![elasticsearch](https://img.shields.io/b
35c3,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/35c3,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/35c3/post/docker-compose.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/35c3/post/Dockerfile,80,Yes,Header Injection; Information Disclosure; SQL Injection; SSRF; Header Injection; RCE; SQL Injection; SSRF; Header Injection; SQL Injection; SSRF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/35c3/post/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/35c3/post/exploit/exploit.php,,No,docker-compose not found,Repository for challenges I have created for the 35c3 CTF.
google_security-research,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/google_security-research,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/google_security-research/v8ctf/chrome-144/healthcheck/Dockerfile; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/google_security-research/v8ctf/chrome-144/challenge/Dockerfile,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/google_security-research/SECURITY.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/google_security-research/.gitignore,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/google_security-research/kernelctf/get_latest_android_versions.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/google_security-research/kernelctf/get_latest_lts_cos_versions.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/google_security-research/analysis/kernel/dashboard/Data/Test_Field_Information/test_field_information.py,Yes,Has Dockerfile (untested),This project hosts security advisories and their accompanying
bashly,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/bashly,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/bashly/docker-compose.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/bashly/Dockerfile,,No,,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/bashly/spec/spec_helper.rb; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/bashly/spec/spec_mixin.rb; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/bashly/spec/fixtures/workspaces/empty-args/src/test_command.sh,No,docker-compose not found,<img src='support/img/bashly-logo.svg' width=280>
nginx_waf,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/nginx_waf,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/nginx_waf/guard.lua,,No,,"nginx\_waf是基于ngx\_lua,以lua脚本语言开发的防cc攻击软件。继承了nginx高并发，高性能的特点，可以以非常小的性能损耗来防范大规模的cc攻击。"
ScanQLi,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ScanQLi,No,,,Yes,RCE; SQL Injection; SSRF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ScanQLi/README.md,,No,,![Screenshot](https://github.com/bambish/ScanQLi/blob/master/.screenshots/scanqli.jpg)
conspirator,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/conspirator,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/conspirator/internal/pkg/http/api/v1/addRoute.go,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/conspirator/internal/pkg/polling/polling_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/conspirator/internal/pkg/polling/events_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/conspirator/internal/pkg/polling/manager_test.go,No,,"**Currently, this is a personal (WIP) side-project that I work on in my spare time. I'm not taking PRs or contributions at this time.**"
ctf_game_history,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ctf_game_history,No,,,Yes,XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ctf_game_history/2019/ByteCTF.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ctf_game_history/2019/SUCTF.md,,No,,这是一个的**CTF历史比赛题目信息**的仓库。
ArchiveBox,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ArchiveBox,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ArchiveBox/docker-compose.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ArchiveBox/Dockerfile,"80, 443, 8000, 8080",Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ArchiveBox/etc/crontabs/archivebox,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ArchiveBox/bin/test_plugins.sh; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ArchiveBox/archivebox/workers/tests/test_orchestrator.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ArchiveBox/archivebox/machine/tests/test_machine_models.py,No,docker-compose not found,"<img src=""https://archivebox.io/icon.png"" height=""90px""/>"
CVE-2023-0179-PoC,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2023-0179-PoC,No,,,Yes,Information Disclosure; RCE; RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2023-0179-PoC/exploit.h; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2023-0179-PoC/Makefile,,No,,"This repository contains the exploit for my recently discovered vulnerability in the nftables subsystem that was assigned CVE-2023-0179, affecting all"
HackReport,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/HackReport,No,,,Yes,Command Injection; RCE; XXE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/HackReport/03-干货系列/域渗透/域控权限维持.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/HackReport/03-干货系列/域渗透/获取域控权限.md,,No,,">  开源分享、欢迎Star,能一起参与那就更棒啦!!!"
k0keoyo_my_vulnerabilities,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/k0keoyo_my_vulnerabilities,No,,,Yes,Command Injection; RCE; RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/k0keoyo_my_vulnerabilities/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/k0keoyo_my_vulnerabilities/dxgkrnl_integer_overflow/README.md,,No,,***I will share some of vulnerabilities poc I reported***
Flangvik_SharpCollection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Flangvik_SharpCollection,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Flangvik_SharpCollection/NetFramework_4.7_x86/SharpWMI.exe; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Flangvik_SharpCollection/NetFramework_4.0_x86/SharpWMI.exe,,No,,"Nightly builds of common C# offensive tools, fresh from their respective master branches built and released in a CDI fashion using Azure DevOps releas"
CISSP-Study-Guide,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CISSP-Study-Guide,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CISSP-Study-Guide/D7 - Security Operations.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CISSP-Study-Guide/D6 - Security Assessment and Testing.md,,No,,* repo: https://gitlab.com/simonowens157/cissp/
gorse,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/gorse,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/gorse/docker-compose.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/gorse/cmd/gorse-server/Dockerfile,"9000, 8080",Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/gorse/model/ctr/optimize.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/gorse/model/cf/optimize.go,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/gorse/config/config_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/gorse/client/client_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/gorse/dataset/dataset_test.go,No,docker-compose not found,"<img width=160 src=""assets/gorse.png""/>"
tihmstar_ios-app-signer,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/tihmstar_ios-app-signer,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/tihmstar_ios-app-signer/AppSigner/Application.xib,,No,,This is an app for OS X that can (re)sign apps and bundle them into ipa files that are ready to be installed on an iOS device.
LdapRelayScan,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/LdapRelayScan,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/LdapRelayScan/docker/Dockerfile,,No,,,,Yes,Has Dockerfile (untested),A tool to check Domain Controllers for LDAP server protections regarding the relay of NTLM authentication. If you're interested in the specifics of th
jiangsir404_POC-S,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/jiangsir404_POC-S,No,,,Yes,Command Injection; Information Disclosure; LFI/RFI; RCE; SSRF; XSS; LFI/RFI; RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/jiangsir404_POC-S/setup.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/jiangsir404_POC-S/changelog.txt,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/jiangsir404_POC-S/pocs/test/test_load_self_script.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/jiangsir404_POC-S/pocs/test/test_pocs_dnslog.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/jiangsir404_POC-S/pocs/test/test_config.py,No,,未经事先双方同意，使用POC-S攻击目标是非法的。
ShiroRce-Burp,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ShiroRce-Burp,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ShiroRce-Burp/src/main/java/burp/IIntruderAttack.java; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ShiroRce-Burp/src/main/java/burp/IIntruderPayloadGenerator.java,,No,,集成了四种回显方式，一种反弹 shell方式
matthewearl_deep-anpr,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/matthewearl_deep-anpr,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/matthewearl_deep-anpr/common.py,,No,,Using neural networks to build an automatic number plate recognition system.
maxun,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/maxun,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/maxun/docker-compose.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/maxun/browser/Dockerfile,,No,,,,No,docker-compose not found,"<a href=""https://www.maxun.dev/?ref=ghread"">"
allstar,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/allstar,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/allstar/SECURITY.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/allstar/pkg/policies/codeowners/codeowners_test.go,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/allstar/pkg/policies/codeowners/codeowners_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/allstar/pkg/policies/branch/branch_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/allstar/pkg/policies/security/security_test.go,No,,"<img align=""right"" src=""artwork/openssf_allstar_alt.png"" width=""300"" height=""400"">"
CVE-2022-23222,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2022-23222,No,,,Yes,Information Disclosure; Information Disclosure; RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2022-23222/Makefile; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2022-23222/README.md,,No,,Chinese writeup: https://tr3e.ee/posts/cve-2022-23222-linux-kernel-ebpf-lpe.txt
HowToHunt,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/HowToHunt,No,,,Yes,Authentication Bypass; Header Injection; XSS; Header Injection; Information Disclosure; RCE; SSRF; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/HowToHunt/Open_Redirection/find_OpenRedirect_trick.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/HowToHunt/Account_Takeovers_Methodologies/Account_Takeovers_Methods.md,,No,,"<img src=""https://img.shields.io/github/stars/KathanP19/HowToHunt?style=social"" alt=""Stars"">"
dragonite-network_dragonite-java,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/dragonite-network_dragonite-java,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/dragonite-network_dragonite-java/Dockerfile,,No,,,,Yes,Has Dockerfile (untested),![powered by dragonite](https://img.shields.io/badge/powered%20by-dragonite-yellow.svg)
weird_proxies,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/weird_proxies,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/weird_proxies/labs/docker-compose.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/weird_proxies/labs/raw/Dockerfile,"80, 443, 8000, 8080",Yes,Command Injection; Header Injection; Header Injection; SQL Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/weird_proxies/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/weird_proxies/Envoy.md,,No,docker-compose not found,It's a cheat sheet about behaviour of various reverse proxies and related attacks.
java-webhook-email-sender,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/java-webhook-email-sender,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/java-webhook-email-sender/Dockerfile,8080,No,,,,Yes,Has Dockerfile (untested),`Java Webhook Email Sender`实现将Webhook通知通过邮件转发。
Kunyu,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Kunyu,No,,,Yes,Command Injection; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Kunyu/images/pocsuite.png; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Kunyu/kunyu/core/seebug.py,,No,,[![GitHub stars](https://img.shields.io/github/stars/knownsec/Kunyu)](https://github.com/knownsec/Kunyu) [![GitHub issues](https://img.shields.io/gith
CVE-2021-4034,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2021-4034,No,,,Yes,Command Injection; RCE; RCE; RCE; SSRF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2021-4034/cve-2021-4034.c; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2021-4034/.gitignore,,No,,CVE-2021-4034 Add Root User - Pkexec Local Privilege Escalation
geph2,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/geph2,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/geph2/libs/cshirt2/uniformdh.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/geph2/libs/cshirt2/handshake.go,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/geph2/libs/kcp-go/sess_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/geph2/libs/kcp-go/kcp_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/geph2/libs/kcp-go/crypt_test.go,No,,This repository is now obsolete. Geph has been rewritten in Rust at https://github.com/geph-official/geph4
DNS-Reset-Checker,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/DNS-Reset-Checker,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/DNS-Reset-Checker/docker-compose.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/DNS-Reset-Checker/DNS-Reset-Checker/Dockerfile,,Yes,RCE; SQL Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/DNS-Reset-Checker/README.md,,No,docker-compose not found,Tools to assess the DNS security of web applications.
TDOA_RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/TDOA_RCE,No,,,Yes,RCE; SSRF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/TDOA_RCE/src/com/xinyu/tools/Other.java; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/TDOA_RCE/src/com/xinyu/view/GetCookieActionListener.java,,No,,**1).新增v11.7版本另一条利用链-->文件上传(后台)+文件包含(后台)**
stacscan_stacs,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/stacscan_stacs,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/stacscan_stacs/Dockerfile,,No,,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/stacscan_stacs/tests/test_model_ignore_list.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/stacscan_stacs/tests/test_filter_ignore_list.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/stacscan_stacs/tests/test_model_pack.py,Yes,Has Dockerfile (untested),[![Shield](https://img.shields.io/github/actions/workflow/status/stacscan/stacs/publish.yml?label=Deploy&style=flat-square)](https://github.com/stacsc
SimplyEmail,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SimplyEmail,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SimplyEmail/Dockerfile,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SimplyEmail/Modules/Whoisolgy.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SimplyEmail/Modules/WhoisAPISearch.py,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SimplyEmail/tests/test_simplyemail_list.py,Yes,Has Dockerfile (untested),[![Coverage Status](https://coveralls.io/repos/github/killswitch-GUI/SimplyEmail/badge.svg?branch=Version-1.4)](https://coveralls.io/github/killswitch
goby_poc,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/goby_poc,No,,,Yes,Authentication Bypass; Header Injection; RCE; Header Injection; LFI/RFI; Path Traversal; RCE; Header Injection; RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/goby_poc/Apache_HTTP_Server_Arbitrary_File_Read_CVE_2021_41773.json; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/goby_poc/Apache_Druid_Abritrary_File_Read_CVE_2021_36749.json,,No,,本程序仅供于学习交流，请使用者遵守《中华人民共和国网络安全法》，勿将此脚本用于非授权的测试，脚本开发者不负任何连带法律责任。
storybook,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/storybook,No,,,Yes,Command Injection; SSRF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/storybook/SECURITY.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/storybook/code/core/src/core-server/utils/server-address.test.ts,,No,,"<a href=""https://storybook.js.org/?ref=readme"">"
drawdb,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/drawdb,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/drawdb/Dockerfile; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/drawdb/compose.yml,80,No,,,,Yes,Has Dockerfile (untested),<sup>Special thanks to:</sup>
some_pocsuite,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/some_pocsuite,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/some_pocsuite/iis-shortname_6_disclosure.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/some_pocsuite/weblogic-vul-check_all_rce.py,,No,,用于企业内部进行漏洞排查与验证的的pocsuite3验证POC代码（pocsuite3是知道创宇安全团队的开源漏洞测试框架）。
kimsufi-crawler,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/kimsufi-crawler,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/kimsufi-crawler/docker-compose.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/kimsufi-crawler/Dockerfile,,No,,,,No,docker-compose not found,============================
WSSAT,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/WSSAT,No,,,Yes,Header Injection; SQL Injection; XSS; XXE; RCE; SQL Injection; XSS; XXE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/WSSAT/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/WSSAT/WebService2Test/AllVulns.asmx,,No,,"WSSAT is an open source web service security scanning tool which provides a dynamic environment to add, update or delete vulnerabilities by just editi"
cve_manager,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/cve_manager,No,,,Yes,Command Injection; SQL Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/cve_manager/cve_manager.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/cve_manager/CVE Manager.pdf,,No,,A python script that:
Sn1per,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Sn1per,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Sn1per/docker-compose.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Sn1per/Dockerfile,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Sn1per/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Sn1per/sn1per.desktop,,No,docker-compose not found,[![GitHub release](https://img.shields.io/github/release/1N3/Sn1per.svg)](https://github.com/1N3/Sn1per/releases)
springboot-ssm,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/springboot-ssm,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/springboot-ssm/docker/Dockerfile,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/springboot-ssm/src/main/resources/static/x-admin/lib/layui/lay/modules/mobile.js; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/springboot-ssm/src/main/resources/static/x-admin/lib/layui/lay/modules/laytpl.js,,Yes,Has Dockerfile (untested),springboot整合mybatis(SSM项目整合)
