Repo,Folder Path,Has Docker,Port,PoC Logic,Show Description,Vulnerabilities,Origin URL
WooyunDrops,local_repos/WooyunDrops,No,,RCE,"This repository provides xss, header injection, rce proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'RCE', 'LFI/RFI', 'SQL Injection', 'Path Traversal', 'Deserialization', 'SSRF']",https://github.com/SuperKieran/WooyunDrops
struts2_check,local_repos/struts2_check,No,,SSRF,"This repository provides ssrf, header injection proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'Header Injection']",https://github.com/coffeehb/struts2_check
kunpeng,local_repos/kunpeng,No,,"RCE, XSS","This repository provides rce, ssrf, xss proof-of-concept demonstrating web-based attack vectors.","['RCE', 'SSRF', 'XSS', 'LFI/RFI', 'Header Injection', 'SQL Injection', 'Path Traversal']",https://github.com/opensec-cn/kunpeng
IntelliJDashPlugin,local_repos/IntelliJDashPlugin,No,,Web Application,Security research repository - IntelliJDashPlugin,[],https://github.com/gdelmas/IntelliJDashPlugin
CHAOS,local_repos/CHAOS,Yes,8080,"RCE, SQL Injection","This repository provides lfi/rfi, ssrf, path traversal proof-of-concept with Docker deployment on port 8080 demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'Path Traversal', 'Header Injection', 'XSS', 'SQL Injection', 'RCE', 'Deserialization']",https://github.com/tiagorlampert/CHAOS
sspsec_Scan-Spring-GO,local_repos/sspsec_Scan-Spring-GO,No,,RCE,"This repository provides rce, xss, ssrf proof-of-concept demonstrating web-based attack vectors.","['RCE', 'XSS', 'SSRF', 'LFI/RFI', 'Path Traversal']",https://github.com/sspsec/Scan-Spring-GO
Komo,local_repos/Komo,Yes,,LFI,"This repository provides ssrf, rce, header injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SSRF', 'RCE', 'Header Injection', 'LFI/RFI', 'Path Traversal', 'XSS', 'SQL Injection', 'Deserialization']",https://github.com/komomon/Komo
marker,local_repos/marker,No,,RCE,"This repository provides sql injection, lfi/rfi, ssrf proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'LFI/RFI', 'SSRF', 'Path Traversal', 'XSS', 'RCE', 'Header Injection', 'Deserialization']",https://github.com/VikParuchuri/marker
sf197_nuclei_gpt,local_repos/sf197_nuclei_gpt,No,,RCE,"This repository provides rce, xss, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['RCE', 'XSS', 'LFI/RFI', 'Path Traversal', 'Header Injection']",https://github.com/sf197/nuclei_gpt
RTASS,local_repos/RTASS,No,,RCE,"This repository provides xss, sql injection, rce proof-of-concept demonstrating web-based attack vectors.","['XSS', 'SQL Injection', 'RCE', 'LFI/RFI', 'Path Traversal', 'Header Injection']",https://github.com/JDArmy/RTASS
Tp0tOJ,local_repos/Tp0tOJ,No,,"RCE, SQL Injection","This repository provides xss, rce, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['XSS', 'RCE', 'LFI/RFI', 'Path Traversal', 'SSRF', 'Header Injection']",https://github.com/Tp0t-Team/Tp0tOJ
blockchain_guide,local_repos/blockchain_guide,No,,SSRF,"This repository provides ssrf, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'LFI/RFI', 'Path Traversal', 'Header Injection']",https://github.com/yeasy/blockchain_guide
ntop_nDPI,local_repos/ntop_nDPI,No,,RCE,"This repository provides header injection, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'LFI/RFI', 'Path Traversal', 'RCE', 'SQL Injection', 'SSRF']",https://github.com/ntop/nDPI
rfd-checker,local_repos/rfd-checker,No,,RCE,"This repository provides path traversal, rce, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['Path Traversal', 'RCE', 'LFI/RFI']",https://github.com/dsopas/rfd-checker
insight2,local_repos/insight2,Yes,,RCE,"This repository provides lfi/rfi, path traversal, header injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'Header Injection', 'RCE', 'XSS', 'SQL Injection', 'SSRF']",https://github.com/creditease-sec/insight2
goku_lite,local_repos/goku_lite,Yes,,RCE,"This repository provides sql injection, lfi/rfi, rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'LFI/RFI', 'RCE', 'Path Traversal', 'Header Injection', 'SSRF', 'XSS', 'Deserialization']",https://github.com/eolinker/goku_lite
hieeyh_tong2-family,local_repos/hieeyh_tong2-family,No,,RCE,"This repository provides xss, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'Path Traversal', 'RCE', 'SSRF']",https://github.com/hieeyh/tong2-family
codeql-queries,local_repos/codeql-queries,No,,RCE,"This repository provides lfi/rfi, xss, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'RCE', 'Deserialization', 'Header Injection', 'SQL Injection', 'Path Traversal']",https://github.com/advanced-security/codeql-queries
linux-kernel-exploits,local_repos/linux-kernel-exploits,No,,"RCE, Privilege Escalation","This repository provides lfi/rfi, rce, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Path Traversal', 'SQL Injection', 'XSS']",https://github.com/SecWiki/linux-kernel-exploits
drek,local_repos/drek,No,,RCE,"This repository provides sql injection, xss, header injection proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'XSS', 'Header Injection', 'RCE', 'LFI/RFI', 'Path Traversal', 'Deserialization']",https://github.com/chrisallenlane/drek
JavaVulnSummary,local_repos/JavaVulnSummary,No,,SSRF,"This repository provides rce, ssrf, deserialization proof-of-concept demonstrating web-based attack vectors.","['RCE', 'SSRF', 'Deserialization', 'Path Traversal', 'LFI/RFI', 'XSS', 'SQL Injection', 'Header Injection']",https://github.com/R17a-17/JavaVulnSummary
SoraShu_easyconn-socks5-for-HITsz,local_repos/SoraShu_easyconn-socks5-for-HITsz,Yes,,Web Application,Security research repository - SoraShu_easyconn-socks5-for-HITsz,[],https://github.com/SoraShu/easyconn-socks5-for-HITsz
pwndrop,local_repos/pwndrop,No,,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'Header Injection', 'XSS', 'SQL Injection']",https://github.com/kgretzky/pwndrop
ossf_wg-best-practices-os-developers,local_repos/ossf_wg-best-practices-os-developers,No,,RCE,"This repository provides lfi/rfi, xss, sql injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'SQL Injection', 'Header Injection', 'Path Traversal', 'RCE', 'SSRF', 'Deserialization']",https://github.com/ossf/wg-best-practices-os-developers
hey,local_repos/hey,Yes,,Header Injection,This repository provides lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.,['LFI/RFI'],https://github.com/rakyll/hey
Flash-Pop,local_repos/Flash-Pop,No,,XSS,This repository provides xss proof-of-concept demonstrating web-based attack vectors.,['XSS'],https://github.com/r00tSe7en/Flash-Pop
source-code-hunter,local_repos/source-code-hunter,No,,RCE,"This repository provides header injection, lfi/rfi, ssrf proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'LFI/RFI', 'SSRF', 'SQL Injection', 'RCE', 'XSS', 'Path Traversal']",https://github.com/doocs/source-code-hunter
FuzzGen,local_repos/FuzzGen,No,,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal']",https://github.com/HexHive/FuzzGen
CTFDocker,local_repos/CTFDocker,Yes,,RCE,Security research repository - CTFDocker,[],https://github.com/caphosra/CTFDocker
Elkeid,local_repos/Elkeid,No,,RCE,"This repository provides lfi/rfi, path traversal, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'SSRF', 'XSS', 'Header Injection', 'SQL Injection']",https://github.com/bytedance/Elkeid
webug4.0,local_repos/webug4.0,No,,RCE,"This repository provides header injection, xss, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'XSS', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'RCE', 'SSRF']",https://github.com/wangai3176/webug4.0
smallstep_autocert,local_repos/smallstep_autocert,Yes,,"RCE, RFI","This repository provides lfi/rfi, rce, header injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Header Injection', 'Path Traversal']",https://github.com/smallstep/autocert
YesPlayMusic,local_repos/YesPlayMusic,Yes,53,RCE,"This repository provides rce, ssrf, xss proof-of-concept with Docker deployment on port 53 demonstrating web-based attack vectors.","['RCE', 'SSRF', 'XSS', 'LFI/RFI', 'Path Traversal', 'Header Injection']",https://github.com/qier222/YesPlayMusic
SpringBootVul-GUI,local_repos/SpringBootVul-GUI,No,,RCE,"This repository provides ssrf, xss, header injection proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'XSS', 'Header Injection', 'RCE', 'LFI/RFI', 'Path Traversal']",https://github.com/wh1t3zer/SpringBootVul-GUI
arnetheduck_nlvm,local_repos/arnetheduck_nlvm,Yes,,"RCE, SQL Injection","This repository provides rce, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal']",https://github.com/arnetheduck/nlvm
EasyPen,local_repos/EasyPen,No,,RCE,"This repository provides sql injection, rce, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'RCE', 'LFI/RFI', 'Path Traversal', 'Header Injection', 'SSRF', 'XSS']",https://github.com/lijiejie/EasyPen
iconhash,local_repos/iconhash,Yes,,LFI,"This repository provides lfi/rfi, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF']",https://github.com/Becivells/iconhash
gout,local_repos/gout,No,,Header Injection,"This repository provides header injection, ssrf, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'SSRF', 'LFI/RFI', 'Path Traversal']",https://github.com/guonaihong/gout
202252197_ChatGPT_JCM,local_repos/202252197_ChatGPT_JCM,Yes,8090,XSS,"This repository provides ssrf, xss, lfi/rfi proof-of-concept with Docker deployment on port 8090 demonstrating web-based attack vectors.","['SSRF', 'XSS', 'LFI/RFI', 'Path Traversal']",https://github.com/202252197/ChatGPT_JCM
kinproxy,local_repos/kinproxy,No,,"RCE, XSS","This repository provides path traversal, lfi/rfi, xss proof-of-concept demonstrating web-based attack vectors.","['Path Traversal', 'LFI/RFI', 'XSS', 'Header Injection']",https://github.com/mh4x0f/kinproxy
php-object-injection-check,local_repos/php-object-injection-check,No,,Deserialization,"This repository provides lfi/rfi, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS']",https://github.com/PortSwigger/php-object-injection-check
ReadMe,local_repos/ReadMe,No,,SSRF,This repository provides ssrf proof-of-concept demonstrating web-based attack vectors.,['SSRF'],https://github.com/Hunlongyu/ReadMe
YalcinYolalan_WSSAT,local_repos/YalcinYolalan_WSSAT,No,,"RCE, SQL Injection","This repository provides xss, header injection, rce proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'RCE', 'LFI/RFI', 'SQL Injection', 'Path Traversal']",https://github.com/YalcinYolalan/WSSAT
VulApps,local_repos/VulApps,Yes,,RFI,"This repository provides ssrf, rce, xss proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SSRF', 'RCE', 'XSS', 'Header Injection', 'Path Traversal', 'LFI/RFI', 'SQL Injection']",https://github.com/Medicean/VulApps
asn,local_repos/asn,Yes,49200/tcp,RCE,"This repository provides xss, rce, ssrf proof-of-concept with Docker deployment on port 49200/tcp demonstrating web-based attack vectors.","['XSS', 'RCE', 'SSRF']",https://github.com/nitefood/asn
0x727_BypassPro,local_repos/0x727_BypassPro,No,,"RCE, Auth Bypass","This repository provides header injection, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'LFI/RFI', 'Path Traversal', 'XSS', 'Deserialization', 'SSRF']",https://github.com/0x727/BypassPro
pingtunnel,local_repos/pingtunnel,Yes,,RCE,"This repository provides lfi/rfi, rce, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'SSRF']",https://github.com/esrrhs/pingtunnel
maat,local_repos/maat,Yes,,RCE,This repository provides lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.,['LFI/RFI'],https://github.com/trailofbits/maat
CodeScan,local_repos/CodeScan,No,,"RCE, SQL Injection","This repository provides rce, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'XSS', 'Deserialization', 'SSRF']",https://github.com/Zjackky/CodeScan
kubeip,local_repos/kubeip,Yes,,RCE,"This repository provides lfi/rfi, sql injection, xss proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'XSS']",https://github.com/doitintl/kubeip
mufeedvh_code2prompt,local_repos/mufeedvh_code2prompt,No,,"RCE, LFI","This repository provides lfi/rfi, header injection, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Header Injection', 'Path Traversal', 'SQL Injection', 'XSS', 'RCE']",https://github.com/mufeedvh/code2prompt
Milkyway,local_repos/Milkyway,No,,RCE,"This repository provides rce, ssrf, header injection proof-of-concept demonstrating web-based attack vectors.","['RCE', 'SSRF', 'Header Injection', 'LFI/RFI', 'XSS', 'SQL Injection', 'Path Traversal']",https://github.com/polite-007/Milkyway
Qu1cksc0pe,local_repos/Qu1cksc0pe,Yes,,RCE,"This repository provides lfi/rfi, path traversal, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'SSRF', 'SQL Injection', 'RCE', 'XSS', 'Header Injection']",https://github.com/CYB3RMX/Qu1cksc0pe
ya-webadb,local_repos/ya-webadb,No,,XSS,"This repository provides xss, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'Path Traversal']",https://github.com/yume-chan/ya-webadb
moranbw_https-dns-proxy-docker,local_repos/moranbw_https-dns-proxy-docker,Yes,5053,RCE,This repository provides rce proof-of-concept with Docker deployment on port 5053 demonstrating web-based attack vectors.,['RCE'],https://github.com/moranbw/https-dns-proxy-docker
autocert,local_repos/autocert,Yes,,"RCE, RFI","This repository provides lfi/rfi, rce, header injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Header Injection', 'Path Traversal']",https://github.com/smallstep/autocert
card-system,local_repos/card-system,No,,RCE,"This repository provides lfi/rfi, ssrf, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'XSS', 'SQL Injection', 'Path Traversal', 'RCE', 'Header Injection', 'Deserialization']",https://github.com/Tai7sy/card-system
geye,local_repos/geye,Yes,13,RCE,"This repository provides lfi/rfi, path traversal, header injection proof-of-concept with Docker deployment on port 13 demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'Header Injection', 'SSRF', 'XSS', 'RCE']",https://github.com/lightless233/geye
smallcham_sec-admin,local_repos/smallcham_sec-admin,Yes,,SQL Injection,"This repository provides ssrf, rce, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SSRF', 'RCE', 'LFI/RFI', 'Path Traversal', 'XSS']",https://github.com/smallcham/sec-admin
SecurityTesting,local_repos/SecurityTesting,No,,RCE,"This repository provides sql injection, lfi/rfi, xss proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'LFI/RFI', 'XSS', 'SSRF', 'Header Injection', 'Path Traversal', 'RCE']",https://github.com/The-XSS-Rat/SecurityTesting
Crypto-Signal,local_repos/Crypto-Signal,Yes,3,RCE,"This repository provides deserialization, sql injection, lfi/rfi proof-of-concept with Docker deployment on port 3 demonstrating web-based attack vectors.","['Deserialization', 'SQL Injection', 'LFI/RFI']",https://github.com/CryptoSignal/Crypto-Signal
gatherBurp,local_repos/gatherBurp,No,,RCE,"This repository provides header injection, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'LFI/RFI', 'Path Traversal', 'RCE', 'SQL Injection']",https://github.com/kN6jq/gatherBurp
goverview,local_repos/goverview,No,,RCE,"This repository provides rce, xss, ssrf proof-of-concept demonstrating web-based attack vectors.","['RCE', 'XSS', 'SSRF', 'Path Traversal']",https://github.com/j3ssie/goverview
ankane_s3tk,local_repos/ankane_s3tk,Yes,,RCE,"This repository provides lfi/rfi, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection']",https://github.com/ankane/s3tk
spring-boot-webshell,local_repos/spring-boot-webshell,No,,Web Application,Security research repository - spring-boot-webshell,[],https://github.com/durkworf/spring-boot-webshell
hfuu_shop,local_repos/hfuu_shop,No,,RCE,"This repository provides xss, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'Path Traversal', 'Header Injection', 'RCE', 'SQL Injection']",https://github.com/veekxt/hfuu_shop
nDPI,local_repos/nDPI,No,,RCE,"This repository provides header injection, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'LFI/RFI', 'Path Traversal', 'RCE', 'SQL Injection', 'SSRF']",https://github.com/ntop/nDPI
lastmile-ai_mcp-agent,local_repos/lastmile-ai_mcp-agent,No,,RCE,"This repository provides xss, lfi/rfi, rce proof-of-concept demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'RCE', 'SSRF', 'Path Traversal', 'Header Injection', 'SQL Injection', 'Deserialization']",https://github.com/lastmile-ai/mcp-agent
RepeaterSearch,local_repos/RepeaterSearch,No,,Web Application,Security research repository - RepeaterSearch,[],https://github.com/Static-Flow/RepeaterSearch
frida-boot,local_repos/frida-boot,Yes,80,RFI,"This repository provides ssrf, rce, xss proof-of-concept with Docker deployment on port 80 demonstrating web-based attack vectors.","['SSRF', 'RCE', 'XSS', 'LFI/RFI', 'Path Traversal', 'Header Injection']",https://github.com/leonjza/frida-boot
RMS-Runtime-Mobile-Security,local_repos/RMS-Runtime-Mobile-Security,Yes,,RCE,"This repository provides xss, lfi/rfi, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'SSRF', 'RCE', 'SQL Injection', 'Header Injection']",https://github.com/m0bilesecurity/RMS-Runtime-Mobile-Security
Go365,local_repos/Go365,No,,RCE,This repository provides lfi/rfi proof-of-concept demonstrating web-based attack vectors.,['LFI/RFI'],https://github.com/optiv/Go365
BehinderClientSource,local_repos/BehinderClientSource,No,,RCE,"This repository provides xss, rce, sql injection proof-of-concept demonstrating web-based attack vectors.","['XSS', 'RCE', 'SQL Injection', 'Deserialization', 'LFI/RFI', 'Path Traversal', 'Header Injection', 'SSRF']",https://github.com/MountCloud/BehinderClientSource
struts2,local_repos/struts2,No,,RCE,"This repository provides header injection, rce, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'RCE', 'LFI/RFI', 'SSRF', 'Path Traversal']",https://github.com/dengxmenglihua/struts2
VulPOC,local_repos/VulPOC,Yes,,RCE,"This repository provides ssrf, sql injection, deserialization proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SSRF', 'SQL Injection', 'Deserialization', 'LFI/RFI', 'RCE', 'Path Traversal']",https://github.com/d5shenwu/VulPOC.git
xm1k3_cent,local_repos/xm1k3_cent,No,,"RCE, XSS","This repository provides rce, lfi/rfi, header injection proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Header Injection']",https://github.com/xm1k3/cent
IoTGoat,local_repos/IoTGoat,Yes,,"RCE, XSS","This repository provides lfi/rfi, ssrf, rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'RCE', 'Path Traversal', 'Header Injection', 'SQL Injection']",https://github.com/OWASP/IoTGoat
WithSecureLabs_awspx,local_repos/WithSecureLabs_awspx,Yes,80,RCE,"This repository provides rce, lfi/rfi, ssrf proof-of-concept with Docker deployment on port 80 demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'SSRF', 'SQL Injection', 'XSS']",https://github.com/WithSecureLabs/awspx
timesketch,local_repos/timesketch,Yes,,RCE,"This repository provides sql injection, lfi/rfi, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'LFI/RFI', 'SSRF', 'RCE', 'Header Injection', 'Path Traversal', 'XSS']",https://github.com/google/timesketch
RedisShake,local_repos/RedisShake,Yes,,RCE,"This repository provides rce, lfi/rfi, header injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Header Injection', 'SSRF', 'SQL Injection', 'Path Traversal']",https://github.com/tair-opensource/RedisShake
Xib3rR4dAr_WannaRace,local_repos/Xib3rR4dAr_WannaRace,Yes,80,RCE,"This repository provides sql injection, ssrf, xss proof-of-concept with Docker deployment on port 80 demonstrating web-based attack vectors.","['SQL Injection', 'SSRF', 'XSS', 'Header Injection', 'LFI/RFI', 'RCE']",https://github.com/Xib3rR4dAr/WannaRace
MyJWT,local_repos/MyJWT,Yes,,RCE,"This repository provides rce, header injection, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'Header Injection', 'LFI/RFI', 'Path Traversal', 'SSRF', 'SQL Injection']",https://github.com/tyki6/MyJWT
pypa_pipx,local_repos/pypa_pipx,No,,RCE,"This repository provides rce, header injection, xss proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Header Injection', 'XSS', 'LFI/RFI', 'SSRF', 'Path Traversal']",https://github.com/pypa/pipx
forsaken-mail,local_repos/forsaken-mail,Yes,25,RCE,"This repository provides ssrf, xss, rce proof-of-concept with Docker deployment on port 25 demonstrating web-based attack vectors.","['SSRF', 'XSS', 'RCE']",https://github.com/denghongcai/forsaken-mail
reality,local_repos/reality,No,,RCE,"This repository provides rce, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI']",https://github.com/howmp/reality
WindTerm,local_repos/WindTerm,No,,RCE,"This repository provides lfi/rfi, path traversal, sql injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'SQL Injection', 'XSS', 'RCE', 'Header Injection']",https://github.com/kingToolbox/WindTerm
fumadocs,local_repos/fumadocs,No,,RCE,"This repository provides xss, header injection, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'LFI/RFI', 'Path Traversal', 'RCE', 'SSRF', 'SQL Injection']",https://github.com/fuma-nama/fumadocs
ReconNote,local_repos/ReconNote,Yes,65536,RCE,"This repository provides lfi/rfi, path traversal, header injection proof-of-concept with Docker deployment on port 65536 demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'Header Injection', 'RCE']",https://github.com/0xdekster/ReconNote
trojan,local_repos/trojan,Yes,,RFI,"This repository provides rce, lfi/rfi, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'SSRF']",https://github.com/trojan-gfw/trojan
cdk8s_tkey,local_repos/cdk8s_tkey,Yes,19091,RCE,"This repository provides header injection, rce, xss proof-of-concept with Docker deployment on port 19091 demonstrating web-based attack vectors.","['Header Injection', 'RCE', 'XSS', 'LFI/RFI', 'Path Traversal']",https://github.com/cdk8s/tkey
og-miner,local_repos/og-miner,No,,RCE,This repository provides ssrf proof-of-concept demonstrating web-based attack vectors.,['SSRF'],https://github.com/opendns/og-miner
tcpprobe,local_repos/tcpprobe,Yes,8081,SSRF,"This repository provides ssrf, lfi/rfi proof-of-concept with Docker deployment on port 8081 demonstrating web-based attack vectors.","['SSRF', 'LFI/RFI']",https://github.com/mehrdadrad/tcpprobe
code6,local_repos/code6,Yes,3306,RCE,"This repository provides rce, lfi/rfi, ssrf proof-of-concept with Docker deployment on port 3306 demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'SSRF', 'XSS', 'Path Traversal', 'Header Injection', 'SQL Injection']",https://github.com/4x99/code6
Dockertools,local_repos/Dockertools,Yes,,Web Application,Security research repository - Dockertools,[],https://github.com/vulhub/Dockertools
samson,local_repos/samson,Yes,,RCE,"This repository provides lfi/rfi, rce, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Path Traversal', 'SQL Injection', 'XSS', 'Deserialization', 'Header Injection']",https://github.com/wildcardcorp/samson
ClearScript.Manager,local_repos/ClearScript.Manager,No,,RCE,"This repository provides xss, lfi/rfi, header injection proof-of-concept demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'Header Injection', 'RCE', 'SQL Injection', 'Path Traversal']",https://github.com/yuzd/ClearScript.Manager
AndroidUtilCode,local_repos/AndroidUtilCode,No,,RCE,"This repository provides lfi/rfi, path traversal, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'Deserialization', 'Header Injection', 'SSRF']",https://github.com/Blankj/AndroidUtilCode
webshell-analyzer,local_repos/webshell-analyzer,No,,RCE,"This repository provides xss, rce, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['XSS', 'RCE', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'SSRF']",https://github.com/tstillz/webshell-analyzer
threagile,local_repos/threagile,Yes,,RCE,"This repository provides sql injection, lfi/rfi, rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'LFI/RFI', 'RCE', 'XSS', 'Header Injection', 'Path Traversal', 'Deserialization']",https://github.com/Threagile/threagile
windows-rs,local_repos/windows-rs,No,,RCE,"This repository provides lfi/rfi, sql injection, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'XSS', 'RCE', 'Header Injection', 'Path Traversal']",https://github.com/microsoft/windows-rs
EasyCode,local_repos/EasyCode,No,,SQL Injection,"This repository provides lfi/rfi, path traversal, header injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'Header Injection']",https://github.com/makejavas/EasyCode
cloudflare-proxy,local_repos/cloudflare-proxy,No,,Web Application,Security research repository - cloudflare-proxy,[],https://github.com/barretlee/cloudflare-proxy
Solitude,local_repos/Solitude,No,,RCE,"This repository provides rce, sql injection, xss proof-of-concept demonstrating web-based attack vectors.","['RCE', 'SQL Injection', 'XSS', 'SSRF', 'LFI/RFI', 'Path Traversal', 'Header Injection']",https://github.com/nccgroup/Solitude
c0ny1_xxe-lab,local_repos/c0ny1_xxe-lab,No,,RCE,"This repository provides xss, header injection, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'LFI/RFI', 'SQL Injection', 'RCE']",https://github.com/c0ny1/xxe-lab
legion,local_repos/legion,Yes,,RCE,"This repository provides rce, lfi/rfi, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'SQL Injection', 'Header Injection', 'SSRF', 'Path Traversal']",https://github.com/Abacus-Group-RTO/legion
n0madic_nmap-vulners-vulscan,local_repos/n0madic_nmap-vulners-vulscan,Yes,,LFI/RFI,This repository provides lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.,['LFI/RFI'],https://github.com/n0madic/nmap-vulners-vulscan
Music-Downloader,local_repos/Music-Downloader,No,,RCE,"This repository provides xss, header injection, rce proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'RCE', 'LFI/RFI']",https://github.com/sukeesh/Music-Downloader
